"키","명칭","행정시","행정구","행정동"
"BE_IW16-0697","Wondumak","Seoul","Yangcheon-gu","Sinjeong2-dong"
"BE_IW16-0698","Wonjo rice wrapped in greens","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_IW16-0699","Wonju loach soup","Seoul","Gangdong-gu","Cheonho2-dong"
"BE_IW16-0700","Wonhalmeoni Bonga","Seoul","Jung-gu","Hwanghak-dong"
"BE_IW16-0701","Wolhyang","Seoul","Yongsan-gu","Hannam-dong"
"BE_IW16-0702","UiDaeHanBabSang YeongGwang Gangnam Station","Seoul","Seocho-gu","Seocho4-dong"
"BE_IW16-0703","Yuda","Seoul","Seocho-gu","Banpo4-dong"
"BE_IW16-0704","Yurim","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-0705","Yujeong","Seoul","Seongbuk-gu","Jongam-dong"
"BE_IW16-0706","Yujeong","Seoul","Yeongdeungpo-gu","Yeongdeungpo-dong"
"BE_IW16-0707","Yujeong Restaurant","Seoul","Geumcheon-gu","Siheung1-dong"
"BE_IW16-0708","Yujeong Restaurant","Seoul","Seongbuk-gu","Jongam-dong"
"BE_IW16-0709","Yujin Apt.","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0710","Yujin Fresh Fish Market","Seoul","Gwangjin-gu","Junggok1-dong"
"BE_IW16-0711","619Rib","Seoul","Seodaemun-gu","Sinchon-dong"
"BE_IW16-0712","Yuk Chil Pal","Seoul","Mapo-gu","Seogyo-dong"
"BE_IW16-0713","EunsungHoeGwan(Garden)","Seoul","Gwanak-gu","Sillim-dong"
"BE_IW16-0714","Eunhaengnamu","Seoul","Mapo-gu","Seogyo-dong"
"BE_IW16-0715","Eunhaengnamu","Seoul","Yeongdeungpo-gu","Yangpyeong1-dong"
"BE_IW16-0716","Eunhaengnamujip","Seoul","Seocho-gu","Naegok-dong"
"BE_IW16-0717","Eunhaengnamujip","Seoul","Jungnang-gu","Sinnae1-dong"
"BE_IW16-0718","Eunhaengnamujip","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0719","Euljiro Golbaengi","Seoul","Songpa-gu","Jangji-dong"
"BE_IW16-0720","Uijeongbu Budaejjigae","Seoul","Gwanak-gu","Daehak-dong"
"BE_IW16-0721","Uijeongbu Budaejjigae","Seoul","Seocho-gu","Yangjae2-dong"
"BE_IW16-0722","Uijeongbu Budaejjigae","Seoul","Seocho-gu","Bangbaebon-dong"
"BE_IW16-0723","Igane","Seoul","Gangbuk-gu","Beon1-dong"
"BE_IW16-0724","Igane","Seoul","Dongjak-gu","Sadang1-dong"
"BE_IW16-0725","Iga Myeonok","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-0726","Inamjang(Samseongdong branch)","Seoul","Gangnam-gu","Samseong1-dong"
"BE_IW16-0727","Irang","Seoul","Gangseo-gu","Hwagok6-dong"
"BE_IW16-0728","Yisang Galbi (Nowon Branch)","Seoul","Nowon-gu","Sanggye2-dong"
"BE_IW16-0729","Yisang Nurungji Baeksuk Jeongneung Head Shop","Seoul","Seongbuk-gu","Jeongneung3-dong"
"BE_IW16-0730","East Village","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0731","Ijo Galbi Restaurant","Seoul","Eunpyeong-gu","Eungam3-dong"
"BE_IW16-0732","Icheon","Seoul","Seongdong-gu","Haengdang1-dong"
"BE_IW16-0733","InsadongGeuJib","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0734","Insubong Peak","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0735","Ilmi","Seoul","Dongdaemun-gu","Hoegi-dong"
"BE_IW16-0736","Ilmi Restaurant","Seoul","Gangnam-gu","Segok-dong"
"BE_IW16-0737","Ilmi Restaurant","Seoul","Seodaemun-gu","Chunghyeon-dong"
"BE_IW16-0738","Ilchul Drivers Restaurant","Seoul","Yangcheon-gu","Sinwol7-dong"
"BE_IW16-0739","Imjingang River","Seoul","Gwangjin-gu","Junggok2-dong"
"BE_IW16-0740","Jame Restaurant","Seoul","Seongdong-gu","Yongdap-dong"
"BE_IW16-0741","Jame Restaurant","Seoul","Gangbuk-gu","Songjung-dong"
"BE_IW16-0742","Jasaneobo","Seoul","Seocho-gu","Seocho2-dong"
"BE_IW16-0743","Jayu Restaurant","Seoul","Mapo-gu","Mangwon2-dong"
"BE_IW16-0744","Banquet Noodles ","Seoul","Gwanak-gu","Nangok-dong"
"BE_IW16-0745","Janchijip","Seoul","Yeongdeungpo-gu","Yeongdeungpo-dong"
"BE_IW16-0746","Jamsil Madang","Seoul","Songpa-gu","Jamsilbon-dong"
"BE_IW16-0747","Janggane Gopchanggui","Seoul","Mapo-gu","Yonggang-dong"
"BE_IW16-0748","Janggang","Seoul","Mapo-gu","Yonggang-dong"
"BE_IW16-0749","Janggun Galbi","Seoul","Gwangjin-gu","Junggok2-dong"
"BE_IW16-0750","Janggunjip","Seoul","Gwanak-gu","Jungang-dong"
"BE_IW16-0751","Jangdokdae","Seoul","Jongno-gu","Pyeongchang-dong"
"BE_IW16-0752","Jangmi Apt.","Seoul","Jongno-gu","Jongno5.6ga-dong"
"BE_IW16-0753","Jangsarang","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0754","Jangsu Galbi","Seoul","Gangbuk-gu","Suyu1-dong"
"BE_IW16-0755","Jangsu Galbi","Seoul","Jung-gu","Sogong-dong"
"BE_IW16-0756","Jangsu Galbi","Seoul","Gwangjin-gu","Gunja-dong"
"BE_IW16-0757","Jangsu Dog Meat Soup","Seoul","Gangbuk-gu","Insu-dong"
"BE_IW16-0758","Jangsu Sikdang","Seoul","Seocho-gu","Seocho2-dong"
"BE_IW16-0759","Jangsu Sikdang","Seoul","Jungnang-gu","Myeonmokbon-dong"
"BE_IW16-0760","Jangsuwon","Seoul","Seocho-gu","Bangbaebon-dong"
"BE_IW16-0761","Jangsuwon","Seoul","Gangseo-gu","Hwagok6-dong"
"BE_IW16-0762","Jangsujip","Seoul","Eunpyeong-gu","Eungam3-dong"
"BE_IW16-0763","Jangsuchon","Seoul","Seodaemun-gu","Hongeun2-dong"
"BE_IW16-0764","Town Hall","Seoul","Mapo-gu","Seongsan2-dong"
"BE_IW16-0765","Jangan Hand-Rolled Noodles","Seoul","Gangbuk-gu","Suyu2-dong"
"BE_IW16-0766","Jangeochon","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0767","Jangeochon","Seoul","Songpa-gu","Bangi1-dong"
"BE_IW16-0768","Jangwon","Seoul","Gangdong-gu","Cheonho1-dong"
"BE_IW16-0769","Jang-uidong Yuseongjip","Seoul","Jungnang-gu","Junghwa1-dong"
"BE_IW16-0770","Jang-uidong Yuseongjip","Seoul","Gangdong-gu","Gil-dong"
"BE_IW16-0771","Jangchung-dong Steamed Pig Feet","Seoul","Gwanak-gu","Sinsa-dong"
"BE_IW16-0772","Jangchung Steamed Pig Feet","Seoul","Jungnang-gu","Sangbong2-dong"
