,ctr,tour,cb,ob,study,ect,total,yoy,growth,ratio,date,season
794,오스트레일리아,11843,280,12,11,1092,13238,11172,18.5,1.2,2014-12,winter
795,뉴질랜드,2893,41,0,2,432,3368,3134,7.5,0.3,2014-12,winter
796,대양주 기타,316,2,0,2,69,389,358,8.7,0.0,2014-12,winter
798,남아프리카공화국,348,30,0,1,134,513,566,-9.4,0.0,2014-12,winter
799,아프리카 기타,989,378,23,100,457,1947,2255,-13.7,0.2,2014-12,winter
801,국적미상,35,2,0,0,34,71,40,77.5,0.0,2014-12,winter
803,교포,0,0,0,0,23742,23742,25062,-5.3,2.2,2014-12,winter
805,일본,131909,2606,110,695,4312,139632,172077,-18.9,15.2,2015-01,winter
806,대만,48909,44,13,110,722,49798,45282,10.0,5.4,2015-01,winter
807,홍콩,34672,36,0,85,614,35407,35077,0.9,3.9,2015-01,winter
808,마카오,2531,1,0,10,29,2571,2436,5.5,0.3,2015-01,winter
809,태국,34814,38,87,72,5869,40880,34427,18.7,4.5,2015-01,winter
810,말레이시아,10609,201,2,85,1499,12396,12768,-2.9,1.4,2015-01,winter
811,필리핀,8883,347,88,154,15244,24716,25366,-2.6,2.7,2015-01,winter
812,인도네시아,7582,163,15,111,4249,12120,11771,3.0,1.3,2015-01,winter
813,싱가포르,7474,123,5,56,1276,8934,9005,-0.8,1.0,2015-01,winter
814,미얀마,1123,25,10,25,3303,4486,4717,-4.9,0.5,2015-01,winter
815,베트남,3254,395,143,323,3780,7895,5661,39.5,0.9,2015-01,winter
816,인도,1824,2270,22,84,3028,7228,8532,-15.3,0.8,2015-01,winter
817,스리랑카,120,44,2,11,1073,1250,1275,-2.0,0.1,2015-01,winter
818,파키스탄,143,188,7,71,288,697,619,12.6,0.1,2015-01,winter
819,방글라데시,96,80,11,42,461,690,732,-5.7,0.1,2015-01,winter
820,캄보디아,240,22,34,32,976,1304,1468,-11.2,0.1,2015-01,winter
821,몽골,5090,143,238,291,437,6199,5476,13.2,0.7,2015-01,winter
822,중국,327225,4310,165,3778,58867,394345,296708,32.9,43.0,2015-01,winter
823,이란,37,155,2,17,24,235,231,1.7,0.0,2015-01,winter
824,이스라엘,747,4,0,8,29,788,847,-7.0,0.1,2015-01,winter
825,터키,664,18,17,22,671,1392,1315,5.9,0.2,2015-01,winter
826,우즈베키스탄,1001,724,0,47,1829,3601,3405,5.8,0.4,2015-01,winter
827,카자흐스탄,1916,18,0,44,285,2263,1058,113.9,0.2,2015-01,winter
828,GCC,1301,34,5,77,74,1491,1285,16.0,0.2,2015-01,winter
829,아시아 기타,982,402,86,72,1291,2833,2529,12.0,0.3,2015-01,winter
831,미국,33727,755,1796,198,14420,50896,50347,1.1,5.5,2015-01,winter
832,캐나다,6155,159,12,35,3537,9898,9233,7.2,1.1,2015-01,winter
833,멕시코,536,10,6,44,153,749,581,28.9,0.1,2015-01,winter
834,브라질,754,55,8,68,194,1079,1033,4.5,0.1,2015-01,winter
835,미주 기타,828,41,10,81,321,1281,1338,-4.3,0.1,2015-01,winter
837,영국,6935,835,14,45,1886,9715,10970,-11.4,1.1,2015-01,winter
838,독일,4721,303,11,166,1115,6316,7140,-11.5,0.7,2015-01,winter
839,프랑스,3263,598,38,202,1181,5282,5210,1.4,0.6,2015-01,winter
840,네덜란드,1400,70,9,69,478,2026,2161,-6.2,0.2,2015-01,winter
841,스웨덴,747,83,10,36,144,1020,989,3.1,0.1,2015-01,winter
842,스위스,602,23,1,15,70,711,644,10.4,0.1,2015-01,winter
843,이탈리아,1524,177,11,21,357,2090,2579,-19.0,0.2,2015-01,winter
844,덴마크,573,79,4,16,131,803,757,6.1,0.1,2015-01,winter
845,노르웨이,792,651,4,15,267,1729,1627,6.3,0.2,2015-01,winter
846,벨기에,390,34,0,13,124,561,616,-8.9,0.1,2015-01,winter
847,오스트리아,436,20,2,11,219,688,693,-0.7,0.1,2015-01,winter
848,스페인,798,40,12,41,253,1144,1020,12.2,0.1,2015-01,winter
849,그리스,285,49,1,1,262,598,691,-13.5,0.1,2015-01,winter
850,포르투갈,421,18,0,7,80,526,559,-5.9,0.1,2015-01,winter
851,핀란드,482,19,0,30,231,762,668,14.1,0.1,2015-01,winter
852,아일랜드,349,39,1,1,247,637,658,-3.2,0.1,2015-01,winter
853,우크라이나,412,97,1,4,1450,1964,1823,7.7,0.2,2015-01,winter
854,러시아,9646,132,33,76,4070,13957,15763,-11.5,1.5,2015-01,winter
855,크로아티아,172,17,0,0,149,338,448,-24.6,0.0,2015-01,winter
856,루마니아,253,27,5,7,429,721,919,-21.5,0.1,2015-01,winter
857,불가리아,151,5,0,5,284,445,516,-13.8,0.0,2015-01,winter
858,폴란드,442,52,0,10,404,908,1045,-13.1,0.1,2015-01,winter
859,구주 기타,1431,67,7,56,680,2241,2400,-6.6,0.2,2015-01,winter
861,오스트레일리아,8370,414,12,23,1178,9997,9073,10.2,1.1,2015-01,winter
862,뉴질랜드,2051,42,0,2,523,2618,2642,-0.9,0.3,2015-01,winter
863,대양주 기타,519,0,6,3,94,622,709,-12.3,0.1,2015-01,winter
865,남아프리카공화국,261,60,5,13,574,913,866,5.4,0.1,2015-01,winter
866,아프리카 기타,675,322,13,116,388,1514,1649,-8.2,0.2,2015-01,winter
868,국적미상,8,2,0,0,29,39,34,14.7,0.0,2015-01,winter
870,교포,0,0,0,0,19115,19115,21203,-9.8,2.1,2015-01,winter
872,일본,134366,2464,96,1674,3987,142587,189722,-24.8,13.6,2015-02,winter
873,대만,52425,63,8,516,707,53719,46705,15.0,5.1,2015-02,winter
874,홍콩,49996,46,0,283,667,50992,35881,42.1,4.9,2015-02,winter
875,마카오,3428,1,0,20,28,3477,2284,52.2,0.3,2015-02,winter
876,태국,29581,38,77,247,4918,34861,33786,3.2,3.3,2015-02,winter
877,말레이시아,12095,230,6,570,1312,14213,13570,4.7,1.4,2015-02,winter
878,필리핀,8812,227,52,194,14455,23740,23240,2.2,2.3,2015-02,winter
879,인도네시아,6780,176,15,520,4601,12092,10880,11.1,1.2,2015-02,winter
880,싱가포르,6672,121,4,210,1159,8166,8080,1.1,0.8,2015-02,winter
881,미얀마,1154,19,12,93,3271,4549,4574,-0.5,0.4,2015-02,winter
882,베트남,4371,216,67,1015,4140,9809,12942,-24.2,0.9,2015-02,winter
883,인도,1442,1892,16,314,4319,7983,7869,1.4,0.8,2015-02,winter
884,스리랑카,134,55,0,43,968,1200,1155,3.9,0.1,2015-02,winter
885,파키스탄,151,190,6,209,306,862,898,-4.0,0.1,2015-02,winter
886,방글라데시,130,77,8,116,556,887,864,2.7,0.1,2015-02,winter
887,캄보디아,391,28,16,119,982,1536,1531,0.3,0.1,2015-02,winter
888,몽골,4129,94,195,500,402,5320,5370,-0.9,0.5,2015-02,winter
889,중국,413096,3015,139,24083,76454,516787,326295,58.4,49.2,2015-02,winter
890,이란,52,150,0,68,27,297,311,-4.5,0.0,2015-02,winter
891,이스라엘,768,6,0,7,23,804,792,1.5,0.1,2015-02,winter
892,터키,617,24,42,83,673,1439,1447,-0.6,0.1,2015-02,winter
893,우즈베키스탄,1032,777,1,177,2087,4074,3677,10.8,0.4,2015-02,winter
894,카자흐스탄,1641,6,0,360,271,2278,1254,81.7,0.2,2015-02,winter
895,GCC,876,25,6,369,60,1336,1456,-8.2,0.1,2015-02,winter
896,아시아 기타,840,446,106,376,1144,2912,3176,-8.3,0.3,2015-02,winter
898,미국,31724,636,1197,719,14452,48728,48546,0.4,4.6,2015-02,winter
899,캐나다,6705,135,9,116,3572,10537,8950,17.7,1.0,2015-02,winter
900,멕시코,445,10,3,157,200,815,712,14.5,0.1,2015-02,winter
901,브라질,765,34,8,66,286,1159,1118,3.7,0.1,2015-02,winter
902,미주 기타,886,16,6,230,453,1591,1443,10.3,0.2,2015-02,winter
904,영국,5483,507,8,72,1981,8051,8010,0.5,0.8,2015-02,winter
905,독일,4465,264,11,348,958,6046,6897,-12.3,0.6,2015-02,winter
906,프랑스,3696,425,33,728,1096,5978,5383,11.1,0.6,2015-02,winter
907,네덜란드,1276,53,3,152,472,1956,1991,-1.8,0.2,2015-02,winter
908,스웨덴,763,53,3,86,120,1025,1075,-4.7,0.1,2015-02,winter
909,스위스,589,20,2,45,76,732,705,3.8,0.1,2015-02,winter
910,이탈리아,1830,72,6,50,1045,3003,3029,-0.9,0.3,2015-02,winter
911,덴마크,458,66,3,35,161,723,690,4.8,0.1,2015-02,winter
912,노르웨이,625,479,4,29,122,1259,1405,-10.4,0.1,2015-02,winter
913,벨기에,450,18,0,28,115,611,591,3.4,0.1,2015-02,winter
914,오스트리아,455,10,1,44,120,630,676,-6.8,0.1,2015-02,winter
915,스페인,799,25,4,96,243,1167,1171,-0.3,0.1,2015-02,winter
916,그리스,315,25,0,7,246,593,611,-2.9,0.1,2015-02,winter
917,포르투갈,573,11,2,16,81,683,600,13.8,0.1,2015-02,winter
918,핀란드,466,20,0,123,199,808,767,5.3,0.1,2015-02,winter
919,아일랜드,270,26,1,9,211,517,564,-8.3,0.0,2015-02,winter
920,우크라이나,398,73,0,34,1150,1655,1879,-11.9,0.2,2015-02,winter
921,러시아,6676,102,7,304,4645,11734,14173,-17.2,1.1,2015-02,winter
922,크로아티아,110,12,0,3,151,276,403,-31.5,0.0,2015-02,winter
923,루마니아,289,16,1,17,490,813,732,11.1,0.1,2015-02,winter
924,불가리아,111,6,0,18,322,457,480,-4.8,0.0,2015-02,winter
925,폴란드,474,30,0,58,381,943,875,7.8,0.1,2015-02,winter
926,구주 기타,1192,61,3,171,789,2216,2268,-2.3,0.2,2015-02,winter
928,오스트레일리아,5491,303,36,72,1108,7010,7106,-1.4,0.7,2015-02,winter
929,뉴질랜드,1064,54,0,6,508,1632,1821,-10.4,0.2,2015-02,winter
930,대양주 기타,188,0,1,5,81,275,324,-15.1,0.0,2015-02,winter
932,남아프리카공화국,278,25,0,7,545,855,899,-4.9,0.1,2015-02,winter
933,아프리카 기타,831,380,31,379,400,2021,2369,-14.7,0.2,2015-02,winter
935,국적미상,19,1,1,3,19,43,51,-15.7,0.0,2015-02,winter
937,교포,0,0,0,0,18244,18244,19953,-8.6,1.7,2015-02,winter
939,일본,211846,1958,186,824,4118,218932,247262,-11.5,17.7,2015-03,spring
940,대만,51302,52,9,291,650,52304,47097,11.1,4.2,2015-03,spring
941,홍콩,50969,41,1,187,678,51876,35208,47.3,4.2,2015-03,spring
942,마카오,2987,1,0,14,31,3033,2562,18.4,0.2,2015-03,spring
943,태국,40726,68,192,87,5795,46868,42507,10.3,3.8,2015-03,spring
944,말레이시아,19682,209,6,167,1429,21493,20411,5.3,1.7,2015-03,spring
945,필리핀,14684,281,70,127,18601,33763,32234,4.7,2.7,2015-03,spring
946,인도네시아,9565,274,37,173,5618,15667,15445,1.4,1.3,2015-03,spring
947,싱가포르,14152,165,9,26,1189,15541,14996,3.6,1.3,2015-03,spring
948,미얀마,1321,23,62,43,3401,4850,4852,0.0,0.4,2015-03,spring
949,베트남,8708,419,191,1199,7792,18309,11202,63.4,1.5,2015-03,spring
950,인도,1945,2712,38,109,5402,10206,11289,-9.6,0.8,2015-03,spring
951,스리랑카,215,50,10,50,1207,1532,1052,45.6,0.1,2015-03,spring
952,파키스탄,303,254,30,121,391,1099,1028,6.9,0.1,2015-03,spring
953,방글라데시,160,153,26,63,540,942,988,-4.7,0.1,2015-03,spring
954,캄보디아,432,36,71,73,1500,2112,2038,3.6,0.2,2015-03,spring
955,몽골,4290,152,231,408,490,5571,5464,2.0,0.4,2015-03,spring
956,중국,386386,5170,318,21416,101840,515130,423768,21.6,41.6,2015-03,spring
957,이란,213,277,3,35,50,578,591,-2.2,0.0,2015-03,spring
958,이스라엘,1192,7,0,3,51,1253,1102,13.7,0.1,2015-03,spring
959,터키,1223,17,56,23,790,2109,1669,26.4,0.2,2015-03,spring
960,우즈베키스탄,1477,1198,0,123,1976,4774,4577,4.3,0.4,2015-03,spring
961,카자흐스탄,2580,18,4,80,312,2994,1597,87.5,0.2,2015-03,spring
962,GCC,2311,40,12,263,83,2709,2413,12.3,0.2,2015-03,spring
963,아시아 기타,1450,553,207,164,1767,4141,4134,0.2,0.3,2015-03,spring
965,미국,51156,752,1187,127,13533,66755,65001,2.7,5.4,2015-03,spring
966,캐나다,10804,120,6,18,3137,14085,12072,16.7,1.1,2015-03,spring
967,멕시코,860,11,2,19,141,1033,903,14.4,0.1,2015-03,spring
968,브라질,995,26,2,42,288,1353,1267,6.8,0.1,2015-03,spring
969,미주 기타,1935,32,29,57,712,2765,2035,35.9,0.2,2015-03,spring
971,영국,9309,643,10,27,2877,12866,12292,4.7,1.0,2015-03,spring
972,독일,8394,287,15,59,1368,10123,9044,11.9,0.8,2015-03,spring
973,프랑스,5330,401,32,128,1007,6898,6656,3.6,0.6,2015-03,spring
974,네덜란드,1787,63,2,9,517,2378,2789,-14.7,0.2,2015-03,spring
975,스웨덴,1237,58,16,13,143,1467,1535,-4.4,0.1,2015-03,spring
976,스위스,906,21,1,9,140,1077,969,11.1,0.1,2015-03,spring
977,이탈리아,2537,70,9,16,1141,3773,4374,-13.7,0.3,2015-03,spring
978,덴마크,809,88,3,3,164,1067,963,10.8,0.1,2015-03,spring
979,노르웨이,1333,484,2,14,196,2029,1895,7.1,0.2,2015-03,spring
980,벨기에,679,21,3,3,129,835,842,-0.8,0.1,2015-03,spring
981,오스트리아,689,11,3,7,137,847,822,3.0,0.1,2015-03,spring
982,스페인,1353,24,1,23,268,1669,1572,6.2,0.1,2015-03,spring
983,그리스,480,34,0,0,373,887,704,26.0,0.1,2015-03,spring
984,포르투갈,598,13,2,4,111,728,741,-1.8,0.1,2015-03,spring
985,핀란드,651,27,1,12,200,891,900,-1.0,0.1,2015-03,spring
986,아일랜드,433,27,0,2,135,597,603,-1.0,0.0,2015-03,spring
987,우크라이나,479,64,2,5,1419,1969,2232,-11.8,0.2,2015-03,spring
988,러시아,10068,138,15,104,5590,15915,17994,-11.6,1.3,2015-03,spring
989,크로아티아,232,13,0,4,275,524,583,-10.1,0.0,2015-03,spring
990,루마니아,396,18,0,2,597,1013,1118,-9.4,0.1,2015-03,spring
991,불가리아,134,3,0,2,364,503,593,-15.2,0.0,2015-03,spring
992,폴란드,671,26,0,13,398,1108,1118,-0.9,0.1,2015-03,spring
993,구주 기타,1697,59,10,52,868,2686,2933,-8.4,0.2,2015-03,spring
995,오스트레일리아,8791,337,23,22,1832,11005,9787,12.4,0.9,2015-03,spring
996,뉴질랜드,1543,44,4,2,468,2061,1961,5.1,0.2,2015-03,spring
997,대양주 기타,298,0,5,6,82,391,349,12.0,0.0,2015-03,spring
999,남아프리카공화국,338,34,2,4,324,702,909,-22.8,0.1,2015-03,spring
1000,아프리카 기타,1421,469,84,252,463,2689,2871,-6.3,0.2,2015-03,spring
1002,국적미상,31,3,1,0,23,58,57,1.8,0.0,2015-03,spring
1004,교포,0,0,0,0,25611,25611,26185,-2.2,2.1,2015-03,spring
1006,일본,147108,1774,200,260,5060,154402,179593,-14.0,11.2,2015-04,spring
1007,대만,59129,52,4,58,1509,60752,51360,18.3,4.4,2015-04,spring
1008,홍콩,66444,52,2,53,914,67465,55795,20.9,4.9,2015-04,spring
1009,마카오,3371,0,0,1,27,3399,3050,11.4,0.2,2015-04,spring
1010,태국,38391,54,222,27,5157,43851,46365,-5.4,3.2,2015-04,spring
1011,말레이시아,26343,166,7,26,1788,28330,25550,10.9,2.0,2015-04,spring
1012,필리핀,19843,352,141,32,24760,45128,45529,-0.9,3.3,2015-04,spring
1013,인도네시아,11736,264,56,36,9000,21092,20835,1.2,1.5,2015-04,spring
1014,싱가포르,16988,174,2,13,1154,18331,18592,-1.4,1.3,2015-04,spring
1015,미얀마,2089,16,54,9,3679,5847,5965,-2.0,0.4,2015-04,spring
1016,베트남,13759,630,212,223,4113,18937,14006,35.2,1.4,2015-04,spring
1017,인도,2413,2517,54,52,6941,11977,12632,-5.2,0.9,2015-04,spring
1018,스리랑카,277,62,3,36,1508,1886,1556,21.2,0.1,2015-04,spring
1019,파키스탄,315,318,18,34,321,1006,769,30.8,0.1,2015-04,spring
1020,방글라데시,231,116,75,10,675,1107,1062,4.2,0.1,2015-04,spring
1021,캄보디아,860,23,108,22,2531,3544,3852,-8.0,0.3,2015-04,spring
1022,몽골,5016,113,221,75,555,5980,4949,20.8,0.4,2015-04,spring
1023,중국,536428,4922,404,3729,96127,641610,531947,20.6,46.3,2015-04,spring
1024,이란,186,158,16,12,47,419,365,14.8,0.0,2015-04,spring
1025,이스라엘,1334,8,1,1,112,1456,1275,14.2,0.1,2015-04,spring
1026,터키,1263,17,95,9,858,2242,2102,6.7,0.2,2015-04,spring
1027,우즈베키스탄,1606,880,0,41,2420,4947,4819,2.7,0.4,2015-04,spring
1028,카자흐스탄,2191,13,1,16,364,2585,1266,104.2,0.2,2015-04,spring
1029,GCC,2026,33,12,89,56,2216,1824,21.5,0.2,2015-04,spring
1030,아시아 기타,1843,563,274,46,2292,5018,4611,8.8,0.4,2015-04,spring
1032,미국,62410,581,2272,99,14758,80120,70195,14.1,5.8,2015-04,spring
1033,캐나다,12496,119,9,23,3800,16447,13027,26.3,1.2,2015-04,spring
1034,멕시코,1209,11,4,25,271,1520,1214,25.2,0.1,2015-04,spring
1035,브라질,1229,33,15,18,437,1732,1290,34.3,0.1,2015-04,spring
1036,미주 기타,1810,26,21,18,1248,3123,2473,26.3,0.2,2015-04,spring
1038,영국,10736,590,19,25,3186,14556,11141,30.7,1.1,2015-04,spring
1039,독일,7627,254,16,60,1414,9371,8958,4.6,0.7,2015-04,spring
1040,프랑스,6848,389,22,131,1426,8816,7265,21.3,0.6,2015-04,spring
1041,네덜란드,2186,46,1,20,624,2877,2657,8.3,0.2,2015-04,spring
1042,스웨덴,1434,52,8,26,219,1739,1665,4.4,0.1,2015-04,spring
1043,스위스,1310,19,2,7,178,1516,1347,12.5,0.1,2015-04,spring
1044,이탈리아,2401,60,3,12,1376,3852,4488,-14.2,0.3,2015-04,spring
1045,덴마크,926,79,1,6,226,1238,1071,15.6,0.1,2015-04,spring
1046,노르웨이,1055,506,4,4,269,1838,2110,-12.9,0.1,2015-04,spring
1047,벨기에,999,23,1,5,441,1469,875,67.9,0.1,2015-04,spring
1048,오스트리아,675,11,4,9,173,872,933,-6.5,0.1,2015-04,spring
1049,스페인,1358,27,1,15,383,1784,1724,3.5,0.1,2015-04,spring
1050,그리스,483,37,0,0,348,868,708,22.6,0.1,2015-04,spring
1051,포르투갈,858,14,2,5,163,1042,933,11.7,0.1,2015-04,spring
1052,핀란드,709,13,0,29,266,1017,964,5.5,0.1,2015-04,spring
1053,아일랜드,528,26,0,0,126,680,604,12.6,0.0,2015-04,spring
1054,우크라이나,588,68,0,1,1581,2238,2173,3.0,0.2,2015-04,spring
1055,러시아,11281,127,20,20,6383,17831,20358,-12.4,1.3,2015-04,spring
1056,크로아티아,168,8,0,0,301,477,703,-32.1,0.0,2015-04,spring
1057,루마니아,402,18,0,3,719,1142,1168,-2.2,0.1,2015-04,spring
1058,불가리아,254,7,0,0,426,687,762,-9.8,0.0,2015-04,spring
1059,폴란드,781,39,1,11,502,1334,1100,21.3,0.1,2015-04,spring
1060,구주 기타,1881,56,11,12,922,2882,2983,-3.4,0.2,2015-04,spring
1062,오스트레일리아,12288,322,30,7,2879,15526,13689,13.4,1.1,2015-04,spring
1063,뉴질랜드,1972,32,2,0,519,2525,2440,3.5,0.2,2015-04,spring
1064,대양주 기타,307,1,10,0,204,522,400,30.5,0.0,2015-04,spring
1066,남아프리카공화국,498,25,1,0,369,893,741,20.5,0.1,2015-04,spring
1067,아프리카 기타,1972,427,248,55,505,3207,2939,9.1,0.2,2015-04,spring
1069,국적미상,35,3,3,0,12,53,52,1.9,0.0,2015-04,spring
1071,교포,0,0,0,0,25246,25246,26555,-4.9,1.8,2015-04,spring
1073,일본,176044,2428,132,336,9480,188420,201489,-6.5,14.1,2015-05,spring
1074,대만,57080,64,5,120,1792,59061,60105,-1.7,4.4,2015-05,spring
1075,홍콩,52999,54,0,71,971,54095,47064,14.9,4.1,2015-05,spring
1076,마카오,2911,2,0,9,17,2939,2568,14.4,0.2,2015-05,spring
1077,태국,29654,48,174,48,5096,35020,41569,-15.8,2.6,2015-05,spring
1078,말레이시아,17606,202,7,38,1610,19463,21358,-8.9,1.5,2015-05,spring
1079,필리핀,14420,265,122,63,26271,41141,43917,-6.3,3.1,2015-05,spring
1080,인도네시아,10179,268,76,72,9541,20136,22278,-9.6,1.5,2015-05,spring
1081,싱가포르,15424,181,5,34,1103,16747,17748,-5.6,1.3,2015-05,spring
1082,미얀마,1368,22,83,17,4007,5497,5082,8.2,0.4,2015-05,spring
1083,베트남,8596,692,314,272,4611,14485,13464,7.6,1.1,2015-05,spring
1084,인도,2983,2928,128,44,8077,14160,13204,7.2,1.1,2015-05,spring
1085,스리랑카,277,56,0,16,1590,1939,1697,14.3,0.1,2015-05,spring
1086,파키스탄,337,281,25,23,264,930,826,12.6,0.1,2015-05,spring
1087,방글라데시,262,131,92,13,557,1055,753,40.1,0.1,2015-05,spring
1088,캄보디아,549,32,105,23,2863,3572,3678,-2.9,0.3,2015-05,spring
1089,몽골,6580,114,290,103,369,7456,4724,57.8,0.6,2015-05,spring
1090,중국,517154,5155,514,6496,88764,618083,517031,19.5,46.3,2015-05,spring
1091,이란,208,237,7,9,29,490,494,-0.8,0.0,2015-05,spring
1092,이스라엘,1113,10,0,2,174,1299,1177,10.4,0.1,2015-05,spring
1093,터키,1312,14,117,17,809,2269,2003,13.3,0.2,2015-05,spring
1094,우즈베키스탄,1657,789,1,19,2764,5230,3990,31.1,0.4,2015-05,spring
1095,카자흐스탄,2201,24,1,23,306,2555,1684,51.7,0.2,2015-05,spring
1096,GCC,1879,32,10,72,50,2043,1991,2.6,0.2,2015-05,spring
1097,아시아 기타,1592,578,230,58,1831,4289,4115,4.2,0.3,2015-05,spring
1099,미국,55214,629,1802,166,13080,70891,67928,4.4,5.3,2015-05,spring
1100,캐나다,11028,137,9,29,3338,14541,13103,11.0,1.1,2015-05,spring
1101,멕시코,954,15,5,37,214,1225,1267,-3.3,0.1,2015-05,spring
1102,브라질,1005,41,5,16,310,1377,1240,11.0,0.1,2015-05,spring
1103,미주 기타,1771,42,30,48,1309,3200,2666,20.0,0.2,2015-05,spring
1105,영국,7900,568,14,41,1989,10512,10617,-1.0,0.8,2015-05,spring
1106,독일,6933,283,15,116,1423,8770,8832,-0.7,0.7,2015-05,spring
1107,프랑스,5706,470,48,308,1639,8171,6939,17.8,0.6,2015-05,spring
1108,네덜란드,1950,69,1,44,454,2518,2558,-1.6,0.2,2015-05,spring
1109,스웨덴,1281,51,6,27,128,1493,1579,-5.4,0.1,2015-05,spring
1110,스위스,983,20,4,9,88,1104,1094,0.9,0.1,2015-05,spring
1111,이탈리아,2339,71,7,11,1601,4029,3931,2.5,0.3,2015-05,spring
1112,덴마크,799,92,7,9,175,1082,965,12.1,0.1,2015-05,spring
1113,노르웨이,847,447,2,6,131,1433,1655,-13.4,0.1,2015-05,spring
1114,벨기에,832,34,3,10,186,1065,770,38.3,0.1,2015-05,spring
1115,오스트리아,618,11,0,12,169,810,829,-2.3,0.1,2015-05,spring
1116,스페인,1353,31,6,25,353,1768,1517,16.5,0.1,2015-05,spring
1117,그리스,419,32,3,1,409,864,745,16.0,0.1,2015-05,spring
1118,포르투갈,620,8,2,2,134,766,874,-12.4,0.1,2015-05,spring
1119,핀란드,768,23,0,45,257,1093,1024,6.7,0.1,2015-05,spring
1120,아일랜드,434,27,0,1,128,590,636,-7.2,0.0,2015-05,spring
1121,우크라이나,559,73,3,8,1503,2146,2336,-8.1,0.2,2015-05,spring
1122,러시아,12488,112,27,43,5993,18663,19286,-3.2,1.4,2015-05,spring
1123,크로아티아,305,18,0,3,321,647,684,-5.4,0.0,2015-05,spring
1124,루마니아,444,26,7,4,830,1311,1280,2.4,0.1,2015-05,spring
1125,불가리아,246,3,2,1,398,650,777,-16.3,0.0,2015-05,spring
1126,폴란드,730,38,0,24,375,1167,1511,-22.8,0.1,2015-05,spring
1127,구주 기타,1730,58,14,34,905,2741,3115,-12.0,0.2,2015-05,spring
1129,오스트레일리아,11252,349,58,20,2730,14409,12103,19.1,1.1,2015-05,spring
1130,뉴질랜드,1992,32,0,1,500,2525,2625,-3.8,0.2,2015-05,spring
1131,대양주 기타,452,4,8,0,146,610,583,4.6,0.0,2015-05,spring
1133,남아프리카공화국,470,28,3,1,383,885,954,-7.2,0.1,2015-05,spring
1134,아프리카 기타,1909,557,150,122,447,3185,3215,-0.9,0.2,2015-05,spring
1136,국적미상,14,4,0,0,27,45,45,0.0,0.0,2015-05,spring
1138,교포,0,0,0,0,25552,25552,26314,-2.9,1.9,2015-05,spring
1140,일본,93726,1770,149,504,5057,101206,173056,-41.5,13.5,2015-06,summer
1141,대만,13892,31,5,187,701,14816,60849,-75.7,2.0,2015-06,summer
1142,홍콩,12968,33,0,141,807,13949,54884,-74.6,1.9,2015-06,summer
1143,마카오,619,1,0,9,18,647,3313,-80.5,0.1,2015-06,summer
1144,태국,11981,33,88,58,4589,16749,29404,-43.0,2.2,2015-06,summer
1145,말레이시아,8493,187,4,51,1548,10283,15978,-35.6,1.4,2015-06,summer
1146,필리핀,7872,184,100,44,23227,31427,45683,-31.2,4.2,2015-06,summer
1147,인도네시아,5607,128,55,102,8989,14881,21748,-31.6,2.0,2015-06,summer
1148,싱가포르,6711,98,5,39,1073,7926,21010,-62.3,1.1,2015-06,summer
1149,미얀마,1147,16,59,17,3156,4395,6000,-26.8,0.6,2015-06,summer
1150,베트남,5114,379,135,421,4791,10840,12820,-15.4,1.4,2015-06,summer
1151,인도,2151,1671,150,53,7878,11903,17470,-31.9,1.6,2015-06,summer
1152,스리랑카,202,42,1,31,1226,1502,1288,16.6,0.2,2015-06,summer
1153,파키스탄,267,232,19,37,329,884,796,11.1,0.1,2015-06,summer
1154,방글라데시,154,109,39,17,472,791,826,-4.2,0.1,2015-06,summer
1155,캄보디아,292,35,72,24,2573,2996,1717,74.5,0.4,2015-06,summer
1156,몽골,6932,90,145,198,465,7830,5408,44.8,1.0,2015-06,summer
1157,중국,223101,2356,259,8181,81198,315095,573852,-45.1,42.0,2015-06,summer
1158,이란,220,124,5,18,33,400,482,-17.0,0.1,2015-06,summer
1159,이스라엘,663,5,0,4,34,706,853,-17.2,0.1,2015-06,summer
1160,터키,742,15,56,13,816,1642,2373,-30.8,0.2,2015-06,summer
1161,우즈베키스탄,1677,585,0,50,2095,4407,3594,22.6,0.6,2015-06,summer
1162,카자흐스탄,1657,10,2,68,306,2043,1717,19.0,0.3,2015-06,summer
1163,GCC,1012,14,3,68,44,1141,2483,-54.0,0.2,2015-06,summer
1164,아시아 기타,1005,402,127,67,1821,3422,3354,2.0,0.5,2015-06,summer
1166,미국,49148,514,1430,156,11302,62550,74925,-16.5,8.3,2015-06,summer
1167,캐나다,6125,113,5,22,2644,8909,12028,-25.9,1.2,2015-06,summer
1168,멕시코,962,12,3,49,183,1209,1408,-14.1,0.2,2015-06,summer
1169,브라질,727,14,8,13,267,1029,1280,-19.6,0.1,2015-06,summer
1170,미주 기타,1779,27,11,42,1217,3076,3014,2.1,0.4,2015-06,summer
1172,영국,5366,570,14,30,1652,7632,11029,-30.8,1.0,2015-06,summer
1173,독일,5375,248,9,74,1216,6922,7720,-10.3,0.9,2015-06,summer
1174,프랑스,4437,367,14,172,754,5744,6390,-10.1,0.8,2015-06,summer
1175,네덜란드,1402,66,7,38,407,1920,2494,-23.0,0.3,2015-06,summer
1176,스웨덴,1258,41,1,20,102,1422,1584,-10.2,0.2,2015-06,summer
1177,스위스,840,23,0,6,56,925,951,-2.7,0.1,2015-06,summer
